,lr,dpr,batch_size,train_loss,val_loss,train_acc,val_acc
0,0.001,0.1,16,0.4181009836170596,0.32732791282034246,0.9002249999999998,0.881
1,0.001,0.1,32,0.4264996646648379,0.33100144402806164,0.8987,0.88016
2,0.001,0.1,64,0.4032496022084091,0.34145820501107205,0.9023749999999999,0.8775599999999999
3,0.001,0.3,16,0.5176735511674477,0.31703115982797964,0.8773,0.8813599999999999
4,0.001,0.3,32,0.4858076524962285,0.3194540681542864,0.8830500000000001,0.88168
5,0.001,0.3,64,0.4381125851522518,0.32001810439779793,0.8935500000000001,0.88372
6,0.001,0.5,16,0.6751236522207245,0.3391116000866642,0.8415250000000001,0.86984
7,0.001,0.5,32,0.6267180661297148,0.3386781709185641,0.8507,0.87148
8,0.001,0.5,64,0.604885402774509,0.3424573249077495,0.85555,0.869
9,0.0001,0.1,16,0.5200649575327342,0.338566145533547,0.876775,0.8756
10,0.0001,0.1,32,0.48708119501543656,0.3405802757212311,0.885825,0.87424
11,0.0001,0.1,64,0.5235744043996062,0.3557462459972388,0.8759,0.8698
12,0.0001,0.3,16,0.6503176595170659,0.35162853896022794,0.845675,0.86968
13,0.0001,0.3,32,0.5902980572573698,0.3492239978045794,0.8565250000000001,0.8717600000000001
14,0.0001,0.3,64,0.6166088354738453,0.36484127469549454,0.8532,0.86388
15,0.0001,0.5,16,0.7619852870655135,0.3703031968908569,0.8227,0.8576
16,0.0001,0.5,32,0.7546947315430185,0.3877534785942666,0.82165,0.8480400000000001
17,0.0001,0.5,64,0.8433650559262384,0.43791398966236966,0.795825,0.8244
